TOKEN_ID,NFT_FIRST_PRICE,NFT_LAST_PRICE,NFT_AVG_PRICE,NFT_SALE_COUNT
9881,4.978197,4.978197,4.978197,1
7687,10.32464,12.70792,9.362174,3
1028,4.990473,4.990473,4.990473,1
1030,4.990473,4.990473,4.990473,1
1033,4.990473,4.990473,4.990473,1
1032,4.990473,4.990473,4.990473,1
1029,5.312439,5.312439,5.312439,1
1027,4.990473,4.990473,4.990473,1
1031,5.312439,5.312439,5.312439,1
1024,5.473422,5.473422,5.473422,1
4009,5.38263,5.38263,5.38263,1
4011,5.38263,5.38263,5.38263,1
4371,533.0299245,6.544502,281.1608833,4
5843,5.33953,7.81719078,6.57836039,2
7330,9.044364,8.865528,8.954946,2
3801,9.044364,8.865528,8.954946,2
7238,6.783273,6.649146,6.7162095,2
6145,9.044364,8.865528,8.954946,2
4213,13.072465,8.390589,10.46269182,3
3144,9.044364,8.865528,8.954946,2
2225,6.783273,6.58518,6.6842265,2
3545,33.51243324,10.9753,27.00673927,5
7218,9.044364,8.78024,8.912302,2
8029,9.044364,8.78024,8.912302,2
6418,8.398338,7.6582,7.761169185,4
3058,9.119378,7.1956458,8.1575119,2
2181,10.87949,9.5388,8.537674333,3
3922,15.85357114,2.90577,9.379670568,2
3521,12.68285691,2.90577,7.794313455,2
6144,4.362502,4.362502,4.362502,1
5840,4.362502,4.362502,4.362502,1
8312,4.362502,4.362502,4.362502,1
7290,24.74629062,5.018048,16.51318035,4
5663,93.85662686,5.071891,49.46425893,2
1906,10.87949,5.286435,8.0829625,2
9447,17.00349,5.286435,11.1449625,2
8591,10.87949,5.286435,8.0829625,2
7348,259.586671,5.286435,73.10442407,4
8416,14.393016,5.286435,9.8397255,2
329,17.52332155,5.286435,17.45207294,3
7624,17.80146951,5.286435,11.54395226,2
8077,464.9080209,5.286435,174.7782484,3
7304,13.999608,5.286435,9.6430215,2
706,484.2791885,5.286435,181.2353042,3
6614,5.074536,5.074536,5.074536,1
8960,5.074536,5.074536,5.074536,1
7636,5.074536,5.074536,5.074536,1
5738,5.074536,5.074536,5.074536,1
2760,5.019014,5.019014,5.019014,1
2942,13.948032,5.135233,9.5416325,2
2939,10.87949,5.135233,8.0073615,2
5545,10.87949,5.135233,8.0073615,2
9445,17.00349,5.135233,11.0693615,2
4386,16.729335,5.135233,12.660536,4
309,15.40111719,5.135233,10.26817509,2
5470,19.40675,5.135233,12.2709915,2
6630,25.71240375,5.135233,15.42381838,2
6491,19.40675,5.135233,12.2709915,2
8758,17.875314,5.135233,12.39209432,3
5469,533.4209502,8.05158,140.3283745,4
6593,145.0554536,7.564388,59.20765395,3
5298,5.256084,8.28264,6.769362,2
2499,484.2791885,5.194733,181.2047369,3
6319,20.39610821,10.158464,15.27728611,2
7884,46.58574263,5.053962,25.81985231,2
5462,11.226426,5.053962,8.140194,2
483,11.226426,5.053962,8.140194,2
6595,11.226426,8.404,9.815213,2
5623,11.226426,6.303,8.764713,2
1910,76.19235733,5.21602,40.70418866,2
6613,10.87949,8.189977,9.5347335,2
2932,9.602042,9.602042,9.602042,1
7342,9.602042,9.602042,9.602042,1
7859,9.602042,9.602042,9.602042,1
2930,7.355458,6.49267487,6.924066435,2
2904,9.602042,9.602042,9.602042,1
2510,9.602042,9.602042,9.602042,1
7211,17.75358,9.319629,13.5366045,2
9449,17.00349,5.930673,11.4670815,2
6607,9.602042,9.602042,9.602042,1
3319,9.602042,9.602042,9.602042,1
5601,9.602042,9.602042,9.602042,1
2925,9.602042,9.602042,9.602042,1
7339,9.602042,9.602042,9.602042,1
9234,627.7440814,7.625151,194.5702642,4
7306,13.61073,7.060325,14.17756167,3
2546,9.602042,9.602042,9.602042,1
5818,9.602042,9.602042,9.602042,1
3717,9.602042,9.602042,9.602042,1
9448,17.00349,5.64826,9.255054333,3
9541,17.561712,9.319629,10.216373,3
9888,9.602042,9.602042,9.602042,1
4757,10.798839,8.754803,13.17117072,3
3149,7.355458,6.49267487,6.924066435,2
3600,9.602042,9.602042,9.602042,1
5120,9.602042,9.602042,9.602042,1
5115,621.661069,6.495499,156.3758254,5
8530,9.602042,9.602042,9.602042,1
9024,19.697327,3.767778,12.64987657,3
4141,478.8337273,4.306032,166.4823544,3
2540,123.5686541,4.306032,47.30482937,3
8388,11.61522,4.306032,7.960626,2
9113,15.052896,4.306032,9.679464,2
7360,231.82585,4.306032,83.83626934,3
7196,10.32464,9.88077,10.102705,2
7343,9.6430614,9.6430614,9.6430614,1
9022,11.25689,11.25689,11.25689,1
5412,6.783273,14.00364,10.3934565,2
5739,7.429299,11.319609,9.374454,2
6606,11.558334,11.558334,11.558334,1
4800,17.875314,11.713646,14.79448,2
3410,11.683386,11.683386,11.683386,1
7587,6.46026,6.46026,6.46026,1
2682,6.46026,6.46026,6.46026,1
9787,372.5008683,14.963018,133.7977528,3
