CONTRACT_ADDRESS,TOKEN_ID,COLLECTION_AVG_PRICE,COLLECTION_CEILING_PRICE,TOTAL_VOLUME_USD
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,9881,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7687,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1028,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1030,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1033,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1032,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1029,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1027,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1031,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1024,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,4009,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,4011,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,4371,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5843,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7330,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3801,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7238,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,6145,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,4213,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3144,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,2225,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3545,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7218,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8029,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,6418,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3058,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,2181,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3922,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3521,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,6144,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5840,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8312,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7290,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5663,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,1906,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,9447,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8591,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7348,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8416,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,329,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7624,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8077,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7304,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,706,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,6614,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,8960,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,7636,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5738,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,2760,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,2942,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,2939,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5545,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,9445,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,4386,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,309,117825.0196,577302.976,376804412.7
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,5470,117825.0196,577302.976,376804412.7
