TOKEN_ID,CURRENT_OWNER,OWNER_TOTAL_PURCHASES,OWNER_DIVERSE_COLLECTIONS,OWNER_AVG_PURCHASE_PRICE,LAST_SALE_TIME_FORMATTED
9881.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-21 18:34:00
7687.0,0xfda9c682976945df1c630b3c851947a8dd05d4c9,1.0,1.0,12.70792,2025-04-20 23:29:00
1028.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-17 18:13:00
1030.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-17 18:13:00
1033.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-17 18:13:00
1032.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-17 18:13:00
1029.0,0x7862e990963405616afd1e08cd369433a87adb3a,20.0,1.0,5.35478975,2025-04-17 18:13:00
1027.0,0x34f5c36dfd35ef66c996eca754bc5e38165f31f4,9.0,3.0,8.049070889,2025-04-17 18:13:00
1031.0,0x7862e990963405616afd1e08cd369433a87adb3a,20.0,1.0,5.35478975,2025-04-17 18:13:00
1024.0,0x0bc1ca13a06f6d13f0b67ce451379c9468cd5e4f,35.0,4.0,68.92662934,2025-04-17 18:13:00
4009.0,0x7862e990963405616afd1e08cd369433a87adb3a,20.0,1.0,5.35478975,2025-04-14 10:07:00
4011.0,0x7862e990963405616afd1e08cd369433a87adb3a,20.0,1.0,5.35478975,2025-04-14 10:07:00
4371.0,0x4f291107eaa9843d05f8dd8fbe7cde10696e908e,5.0,1.0,13.4663974,2025-04-13 15:55:00
5843.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 19:38:00
7330.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:06:00
3801.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:06:00
7238.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:05:00
6145.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:05:00
4213.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:04:00
3144.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-08-04 00:04:00
2225.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-07-04 23:39:00
3545.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-07-04 23:35:00
7218.0,0x966a4a910b7de4105b4c691cd00de3bc94aff94e,11.0,1.0,8.494545253,2025-07-04 23:33:00
